id,class,animal_name,animal_name_latin,animal_url,fact,source,source_url,tags,counter,include,notes
1,Mammals,Eastern meadow vole,Microtus pennsylvanicus,https://en.wikipedia.org/wiki/Eastern_meadow_vole,"One study found that only 12% of meadow voles survive the first month, with most voles likely dying due to predation.","Getz, 1960",https://doi.org/10.2307/2422671,predation,-,1,-
2,Mammals,Bornean orangutan,Pongo pygmaeus,https://en.wikipedia.org/wiki/Bornean_orangutan,Male orangutans frequently force female orangutans to mate with them.,"Mitani, 1985",https://doi.org/10.1016/S0003-3472(85)80063-4,sexual coercion,-,1,-
3,Birds,Brown-headed cowbird,Molothrus ater,https://en.wikipedia.org/wiki/Brown-headed_cowbird,Cowbirds lay their eggs in the nests of other birds and display 'mafia' like behavior by destroying eggs or nestlings of hosts if they eject their eggs.,"Hoover & Robinson, 2007",https://doi.org/10.1073/pnas.0609710104,brood parasitism,https://doi.org/10.5751/JFO-00180-930404,1,-
4,Mammals,Meerkat,Suricata suricatta,https://en.wikipedia.org/wiki/meerkat,Dominant females commonly kill pups born to subordinates and temporarily expel subordinate females from the group during the latter months of their own pregnancy.,"Clutton-Brock et al., 1998",https://doi.org/10.1098/rspb.1998.0573,infanticide; expulsion,-,1,-
5,Birds,Common cuckoo,Cuculus canorus,https://en.wikipedia.org/wiki/Common_cuckoo,"The common cuckoo female lays one egg is the nest of other birds and usually removes and eats one of the host’s eggs. In general, the cuckoo egg hatches before those of the host and the cuckoo chicks start evicting host offspring from the nest.","Martín-Gálvez et al., 2005",https://doi.org/10.1016/j.anbehav.2005.03.031,brood parasitism,-,1,-
6,Insects,Forelius pusillus,Forelius pusillus,https://en.wikipedia.org/wiki/Forelius_pusillus,"In the Brazilian ant Forelius pusillus, the nest entrance is closed at sunset. One to eight workers ﬁnish the job from the outside and, in doing so, sacriﬁce their lives.","Tofilski et al., 2008",https://doi.org/10.1086/591688,sacrifice,-,1,-
7,Arachnids,Desert spider,Stegodyphus lineatus,https://en.wikipedia.org/wiki/Stegodyphus_lineatus,The offspring of the desert spider eat their own mother.,"Salomon et al., 2015",https://doi.org/10.1636/B14-15.1,cannibalism,-,1,-
8,-,Podarcis muralis: the common wall lizard,-,,-,"Johanssen, 2021",https://www.routledge.com/Wild-Animal-Ethics-The-Moral-and-Political-Problem-of-Wild-Animal-Suffering/Johannsen/p/book/9780367275709?srsltid=AfmBOoropX83jg8NL9MRPcdbWR0wWORpI6ZiveFUDq-Bz_egQchHQmsd,-,-,0,-
9,-,New world screw fly,-,,-,"Johanssen, 2021",https://www.routledge.com/Wild-Animal-Ethics-The-Moral-and-Political-Problem-of-Wild-Animal-Suffering/Johannsen/p/book/9780367275709?srsltid=AfmBOoropX83jg8NL9MRPcdbWR0wWORpI6ZiveFUDq-Bz_egQchHQmsd,-,-,0,-
10,-,"Trichinella, Echinococcus spp., Leishmania, Sarcoptes scabiei canis, Babesia, Trichomonosis, and Haemosporida.",-,,-,"Johanssen, 2021",https://www.routledge.com/Wild-Animal-Ethics-The-Moral-and-Political-Problem-of-Wild-Animal-Suffering/Johannsen/p/book/9780367275709?srsltid=AfmBOoropX83jg8NL9MRPcdbWR0wWORpI6ZiveFUDq-Bz_egQchHQmsd,-,-,0,-
11,Mammals,Bottlenose dolphin,Tursiops truncatus,https://en.wikipedia.org/wiki/Common_bottlenose_dolphin,"Bottlenose dolphins have been found to kill harbor porpoises, plausibly to practice their infanticide skills or to maintain their fighting skills.","Cotter et al., 2012",https://doi.org/10.1111/j.1748-7692.2011.00474.x,interspecies conflict; infanticide,-,1,-
12,Mammals,Chimpanzee,Pan troglodytes,https://en.wikipedia.org/wiki/Chimpanzee,"Intergroup aggression, including lethal attacks, is a pervasive feature of chimpanzee societies.","Wilson & Wrangham, 2003",https://doi.org/10.1146/annurev.anthro.32.061002.120046,interspecies conflict,-,1,-
13,Mammals,Chimpanzee,Pan troglodytes,https://en.wikipedia.org/wiki/Chimpanzee,Both male and female chimpanzees kill infants.,"Townsend et al., 2007",https://doi.org/10.1016/j.cub.2007.03.020,infanticide,-,1,-
14,Fish,Sand tiger shark,Carcharias taurus,https://en.wikipedia.org/wiki/Sand_tiger_shark,"During their pregnancy, the most developed embryo will feed on its siblings.","Gilmore et al., 1983",https://spo.nmfs.noaa.gov/sites/default/files/pdf-content/1983/812/gilmore.pdf,cannibalism,-,1,-
15,Birds,Mallard,Anas platyrhynchos,https://en.wikipedia.org/wiki/Mallard,Mallards forcibly mate with females.,"McKinney & Evarts, 1998",https://doi.org/10.2307/40166723,sexual coercion,-,1,-
16,Birds,Kelp gull,Larus dominicanus,https://en.wikipedia.org/wiki/Kelp_gull,"In Namibia, kelp gull pluck out the eyes of juvenile Cape fur seals and then later feast on its carcass.","Gallagher et al., 2015",https://doi.org/10.2989/1814232X.2015.1071718,predation,-,1,-
17,Mammals,Northern short-tailed shrew,Blarina brevicauda,https://en.wikipedia.org/wiki/Northern_short-tailed_shrew,The Northern short-tailed shrew has venomous saliva that it uses to immobilize some of its prey to eat it later.,"Martin, 1981",https://doi.org/10.2307/1380494,predation,-,1,-
